string_field_0,string_field_2,string_field_3,string_field_45,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_37,string_field_38,string_field_39,string_field_40,string_field_41,string_field_42,string_field_44,string_field_43,string_field_5
Other Europe,30-34,11,"$100,000 - $120,000",Java,,,,Python,,,,C++,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
Other Europe,< 20,41310,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,,,,,,,I'm not happy in my job,Linux,Student
United Kingdom,35-39,11,,,JavaScript,,,,,SQL,C#,,,,,VB.NET,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Canada,40-50,11,,,JavaScript,CSS,,,Ruby,SQL,,,C,Perl,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United Kingdom,30-34,11,,,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,Java,I enjoy going to work,Windows XP,Mid Sized (100-999)
Other Europe,25-29,41310,"<$20,000",,,,,,,,,,,,,java,I'm not happy in my job,Linux,Mid Sized (100-999)
United States of America,35-39,11,">$140,000",,,,,,,SQL,C#,,,,,Silverlight,So happy it hurts,Windows 7,Start Up (1-25)
Other Europe,25-29,41310,"$20,000 - $40,000",Java,,CSS,,,,,,,,,,Groovy,It pays the bills,Windows 7,Mature Small Business (25-100)
United Kingdom,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
Middle East,30-34,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,,Ruby,SQL,,C++,C,,,,So happy it hurts,Linux,Start Up (1-25)
Canada,25-29,41435,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United States of America,25-29,41435,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Other Europe,35-39,11,"$100,000 - $120,000",,,CSS,,,,SQL,C#,C++,,,,,So happy it hurts,Windows 7,"Fortune 1000 (1,000+)"
Australia,35-39,11,"$100,000 - $120,000",,,,,,,SQL,,,,,,coldfusion,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$100,000 - $120,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,35-39,11,"$120,000 - $140,000",Java,JavaScript,CSS,,,Ruby,SQL,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,Student / Unemployed,,JavaScript,CSS,PHP,,,,C#,,,,,,FML,Windows 7,Start Up (1-25)
Other Europe,20-24,41310,,,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,,,JavaScript,CSS,,,,SQL,C#,,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Middle East,30-34,41435,,,JavaScript,CSS,PHP,,,SQL,,C++,,,,,,Mac OS X,Start Up (1-25)
India,25-29,41435,"<$20,000",,,,,,,,C#,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
Australia,35-39,11,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
India,25-29,41310,"<$20,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,35-39,11,">$140,000",Java,,,,,Ruby,,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United Kingdom,20-24,41310,"$20,000 - $40,000",,,CSS,PHP,,,,,,,,,"JavaScript (incl. jQuery), HTML",I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,30-34,41435,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,So happy it hurts,Windows 7,Mature Small Business (25-100)
Canada,30-34,41435,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Windows XP,"Other (not working, consultant, etc.)"
United States of America,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,35-39,<2,"$40,000 - $60,000",Java,JavaScript,,,Python,,,,,,,,Groovy Haskell,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Netherlands,25-29,41435,"$40,000 - $60,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,30-34,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41310,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,30-34,41310,"$60,000 - $80,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41310,"$80,000 - $100,000",,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
Other Europe,40-50,11,"$100,000 - $120,000",,,,,,,SQL,C#,,,,,Delphi,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows 7,Student
Australia,20-24,41435,"<$20,000",,JavaScript,,PHP,,Ruby,,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United Kingdom,30-34,11,">$140,000",,JavaScript,CSS,,,,SQL,C#,C++,,Perl,,groovy,So happy it hurts,Linux,Start Up (1-25)
Central America,30-34,41435,"$20,000 - $40,000",,JavaScript,CSS,,,,,,,,,,ActionScript,I enjoy going to work,Mac OS X,Start Up (1-25)
Mexico,20-24,41310,"$20,000 - $40,000",Java,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Linux,"Fortune 1000 (1,000+)"
Africa,30-34,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Middle East,30-34,41435,"$20,000 - $40,000",Java,,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
France,30-34,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Germany,30-34,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Windows 7,Start Up (1-25)
Other Asia,25-29,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows Vista,Start Up (1-25)
United States of America,20-24,41310,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,SQL,C#,C++,,Perl,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,35-39,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,25-29,11,"$60,000 - $80,000",,JavaScript,,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$80,000 - $100,000",,JavaScript,,PHP,,,SQL,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,35-39,41435,"$80,000 - $100,000",,,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
United States of America,40-50,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,,,,,,VB,I enjoy going to work,Windows XP,Mid Sized (100-999)
United Kingdom,35-39,11,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
Netherlands,30-34,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,,,,Perl,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
United States of America,35-39,11,"$80,000 - $100,000",,,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,25-29,41435,"$80,000 - $100,000",Java,JavaScript,CSS,,,,SQL,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,"$80,000 - $100,000",,JavaScript,CSS,PHP,Python,,SQL,C#,,C,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$100,000 - $120,000",,JavaScript,CSS,,,,,,,,,,,It pays the bills,Windows XP,Mid Sized (100-999)
United States of America,20-24,41310,Student / Unemployed,Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,VB.NET,I enjoy going to work,Windows 7,Student
Australia,30-34,41435,,Java,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Asia,25-29,41310,,,,,,,,,,,,,,,,,Start Up (1-25)
Africa,25-29,41435,,,JavaScript,CSS,,,,SQL,C#,,,,,,,Windows 7,Mid Sized (100-999)
Other Asia,20-24,41310,"<$20,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,It pays the bills,Windows 7,Start Up (1-25)
Other Europe,40-50,11,">$140,000",,JavaScript,CSS,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United States of America,40-50,11,">$140,000",,,CSS,,,,SQL,C#,,,,,Basic,I enjoy going to work,Windows 7,Start Up (1-25)
Germany,30-34,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,,Ruby,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Russia,20-24,41310,"$20,000 - $40,000",Java,JavaScript,,,Python,,SQL,,C++,,,,,It pays the bills,Windows XP,Mature Small Business (25-100)
Italy,30-34,11,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,30-34,11,"$20,000 - $40,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,20-24,41310,"$20,000 - $40,000",,JavaScript,,PHP,,,SQL,,C++,,,,Objective-C,FML,Mac OS X,Start Up (1-25)
United States of America,30-34,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
France,25-29,41310,"$60,000 - $80,000",,JavaScript,,,,Ruby,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Australia,20-24,41310,"$60,000 - $80,000",Java,JavaScript,CSS,,,Ruby,SQL,,,,,,Objective-C,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United Kingdom,30-34,41435,"$60,000 - $80,000",,JavaScript,,,Python,,,C#,,,,,,It pays the bills,Windows XP,"Fortune 1000 (1,000+)"
United States of America,20-24,41310,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Canada,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,,It pays the bills,Linux,Mature Small Business (25-100)
South America,35-39,11,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,30-34,41310,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,40-50,11,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
United States of America,30-34,41435,"$80,000 - $100,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United Kingdom,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,VB,I enjoy going to work,Mac OS X,Mid Sized (100-999)
Australia,40-50,11,,Java,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,I enjoy going to work,Linux,Start Up (1-25)
Other Europe,35-39,11,,,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,30-34,11,"<$20,000",,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,,It pays the bills,Mac OS X,Mid Sized (100-999)
Australia,25-29,41310,"<$20,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,FML,Windows Vista,Start Up (1-25)
Russia,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,,,,Perl,,,I enjoy going to work,Linux,Start Up (1-25)
Italy,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
United Kingdom,20-24,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,"Java, asp.net",It pays the bills,Windows 7,Mature Small Business (25-100)
United States of America,20-24,<2,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,So happy it hurts,Mac OS X,Mature Small Business (25-100)
United Kingdom,25-29,41435,"$40,000 - $60,000",,,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,41310,"$40,000 - $60,000",,,,,,,,C#,,,,,Java,I enjoy going to work,Windows 7,Mid Sized (100-999)
Africa,25-29,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,40-50,11,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,SQL,,,C,,,,So happy it hurts,Mac OS X,"Other (not working, consultant, etc.)"
Canada,35-39,11,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I'm not happy in my job,Windows 7,Mature Small Business (25-100)
Other Europe,30-34,11,"$60,000 - $80,000",,,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41310,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Australia,25-29,41435,"$100,000 - $120,000",Java,JavaScript,CSS,,,,SQL,C#,,,Perl,,,It pays the bills,Windows 7,Mid Sized (100-999)
Other Europe,< 20,41310,Student / Unemployed,,JavaScript,CSS,PHP,,Ruby,,,,,,,,So happy it hurts,Linux,Start Up (1-25)
Other Asia,25-29,41310,,,,,,,,,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Europe,< 20,41310,"<$20,000",Java,,CSS,PHP,,,SQL,,C++,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Australia,35-39,11,">$140,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows XP,Start Up (1-25)
United States of America,< 20,41310,"$20,000 - $40,000",,,CSS,PHP,,Ruby,SQL,,C++,C,Perl,,"LabVIEW, MatLab",I enjoy going to work,Mac OS X,Start Up (1-25)
Australia,20-24,<2,"$20,000 - $40,000",,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Germany,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,PHP,Python,,SQL,,,,,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
Canada,20-24,41310,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,11,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,C++,C,,,,It pays the bills,Mac OS X,Start Up (1-25)
Germany,25-29,41310,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Canada,35-39,11,"$60,000 - $80,000",,,CSS,,,Ruby,SQL,C#,,,,,"Delphi, Objective-C",I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,20-24,41435,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,Ruby,SQL,,C++,,,,"Groovy, Scala",I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
Canada,25-29,41310,"$60,000 - $80,000",,,,,,,,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,25-29,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,C,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,25-29,41310,"$60,000 - $80,000",,,,,,,SQL,C#,,,,,,It pays the bills,Windows Vista,"Fortune 1000 (1,000+)"
United States of America,25-29,41310,"$80,000 - $100,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,PHP,Python,Ruby,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United States of America,30-34,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
Other Asia,< 20,<2,Student / Unemployed,,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows XP,Start Up (1-25)
Other Europe,20-24,41310,"<$20,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Other Europe,35-39,11,"<$20,000",,JavaScript,CSS,PHP,,,SQL,C#,C++,C,Perl,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Other Europe,20-24,41310,"<$20,000",Java,JavaScript,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
Other Europe,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,25-29,41435,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,"Other (not working, consultant, etc.)"
United States of America,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,Python,Ruby,,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
Other Asia,25-29,41310,"$20,000 - $40,000",,JavaScript,CSS,,,,SQL,C#,,,,,VB,I enjoy going to work,Windows XP,Mid Sized (100-999)
Africa,30-34,41310,"$20,000 - $40,000",,,,PHP,,,SQL,,,,,,Visual Basic,So happy it hurts,Windows 7,Start Up (1-25)
South America,25-29,41435,"$20,000 - $40,000",Java,,CSS,PHP,Python,Ruby,SQL,,,,,,,It pays the bills,Mac OS X,Start Up (1-25)
United Kingdom,25-29,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,asp.net,So happy it hurts,Windows 7,Start Up (1-25)
South America,30-34,41435,"$40,000 - $60,000",Java,JavaScript,CSS,,,,SQL,,,C,,,Objective-C,I enjoy going to work,Windows XP,Start Up (1-25)
Other Europe,35-39,11,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Netherlands,25-29,41310,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,Python,,SQL,,,C,Perl,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
United States of America,25-29,41435,"$120,000 - $140,000",,JavaScript,,,Python,,,,C++,,,,,So happy it hurts,Linux,"Fortune 1000 (1,000+)"
United States of America,40-50,11,"$120,000 - $140,000",Java,,CSS,,,,SQL,C#,C++,C,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Africa,< 20,<2,Student / Unemployed,,JavaScript,,,,,,,,,,,,FML,Linux,Start Up (1-25)
Australia,35-39,11,,Java,JavaScript,CSS,,,,SQL,,,,,,Scala,I enjoy going to work,Mac OS X,Start Up (1-25)
Germany,30-34,11,,,,,,,,,,,,,,Java,I enjoy going to work,Windows 7,Mature Small Business (25-100)
Netherlands,25-29,41310,"<$20,000",,JavaScript,CSS,,,Ruby,SQL,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
Other Europe,25-29,41435,"<$20,000",,JavaScript,CSS,PHP,,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
Other Asia,30-34,41435,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,Perl,,,I enjoy going to work,Linux,Start Up (1-25)
United Kingdom,35-39,11,"$20,000 - $40,000",,,,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United States of America,< 20,41310,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,SQL,,,,,,,So happy it hurts,Mac OS X,Start Up (1-25)
United Kingdom,30-34,41435,"$40,000 - $60,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United Kingdom,20-24,41310,"$40,000 - $60,000",,JavaScript,,,Python,,,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
United States of America,30-34,41310,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,SQL,,,,,,Flash,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,CSS,,,Ruby,SQL,C#,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
Other Asia,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,PHP,Python,Ruby,SQL,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
United Kingdom,25-29,41435,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,C#,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
United States of America,40-50,11,"$80,000 - $100,000",Java,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
United States of America,35-39,11,"$80,000 - $100,000",,JavaScript,CSS,,,,SQL,C#,,,,,,So happy it hurts,Windows XP,"Fortune 1000 (1,000+)"
United States of America,40-50,11,"$120,000 - $140,000",,JavaScript,CSS,,,,,C#,,,,,,So happy it hurts,Windows 7,Start Up (1-25)
Other Asia,51-60,41310,Student / Unemployed,,,,PHP,,,,,,,,,Actionscript 3,It pays the bills,Mac OS X,"Other (not working, consultant, etc.)"
Australasia,30-34,41435,,Java,JavaScript,CSS,,,,,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
United States of America,25-29,41310,,,JavaScript,CSS,PHP,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United Kingdom,20-24,41310,"<$20,000",,JavaScript,CSS,PHP,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
United States of America,25-29,41310,"$20,000 - $40,000",,,CSS,PHP,,,SQL,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
Mexico,20-24,41310,"$20,000 - $40,000",Java,,CSS,,,,SQL,,,,,,,It pays the bills,Linux,Start Up (1-25)
Netherlands,25-29,41310,"$40,000 - $60,000",,,CSS,,,,SQL,C#,,,,,,It pays the bills,Windows 7,Mid Sized (100-999)
United States of America,30-34,11,"$60,000 - $80,000",Java,JavaScript,CSS,,,,SQL,,,,,,,I'm not happy in my job,Windows XP,"Fortune 1000 (1,000+)"
United States of America,30-34,41435,"$60,000 - $80,000",,JavaScript,CSS,,,,SQL,C#,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
United States of America,30-34,11,"$60,000 - $80,000",,JavaScript,,PHP,Python,,SQL,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
Canada,35-39,11,"$80,000 - $100,000",,,,,,,SQL,,C++,C,Perl,,,I enjoy going to work,Linux,Mid Sized (100-999)
