string_field_2,string_field_3,string_field_0,string_field_39,string_field_22,string_field_23,string_field_24,string_field_25,string_field_26,string_field_27,string_field_28,string_field_29,string_field_30,string_field_31,string_field_32,string_field_33,string_field_34,string_field_35,string_field_36,string_field_38,string_field_37,string_field_5
25-29,40944,Other Europe,,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Hate my job,Windows Vista,Start Up (1-25)
25-29,41070,United States of America,"$60,000 - $80,000",Java,JavaScript,,PHP,,,,SQL,,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
30-34,41070,United States of America,Student / Unemployed,Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,,C++,C,Perl,HTML5,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
25-29,41070,Other Europe,"<$20,000",,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,I'm not happy in my job,Windows 7,Start Up (1-25)
20-24,40944,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,,,,,,,Grails,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
20-24,<2,United States of America,"<$20,000",Java,,,,,,,,,C++,,,,,,Its a paycheck,Linux,Mid Sized (100-999)
25-29,40944,Australia,"$80,000 - $100,000",Java,,,,,,,SQL,C#,,,,,,VB.NET,I enjoy going to work,Windows 7,Mid Sized (100-999)
< 20,40944,Other Europe,Student / Unemployed,Java,JavaScript,CSS,PHP,,,Ruby,SQL,C#,C++,C,,HTML5,,,Love my job,Linux,Student
25-29,40944,United Kingdom,"$60,000 - $80,000",Java,,,PHP,,,,SQL,,C++,C,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
20-24,40944,United States of America,"$60,000 - $80,000",,JavaScript,,,,,Ruby,,,,,,,,,I'm not happy in my job,Linux,Mid Sized (100-999)
20-24,<2,Germany,Rather not say,Java,,,,,,,SQL,,C++,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,41070,Netherlands,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,,,C++,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
35-39,11,United Kingdom,"$80,000 - $100,000",Java,,,PHP,,Objective-C,,,,C++,C,,,,,Its a paycheck,Linux,"Fortune 1000 (1,000+)"
20-24,40944,United Kingdom,Student / Unemployed,Java,,CSS,,,,Ruby,SQL,C#,C++,C,,HTML5,,,Love my job,Mac OS X,Student
25-29,41070,Other Europe,"$20,000 - $40,000",,,CSS,PHP,,,,SQL,,,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
20-24,40944,Other Europe,Student / Unemployed,Java,,,,,,,,,C++,,,,,,Its a paycheck,Windows 7,Student
40-50,11,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,,,Ruby,SQL,C#,,,,HTML5,,XSL,Love my job,Windows 7,Mid Sized (100-999)
25-29,40944,United States of America,"$60,000 - $80,000",Java,,,,,,,,C#,,,,,,,Hate my job,Windows 7,"Fortune 1000 (1,000+)"
30-34,11,United States of America,"$80,000 - $100,000",,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
25-29,40944,Other Asia,"$20,000 - $40,000",,JavaScript,,,,,Ruby,,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,11,Germany,Student / Unemployed,,,,,,,Ruby,,,,C,,,,,I wish I had a job!,Linux,Student
< 20,41070,United Kingdom,Student / Unemployed,,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,,,,I wish I had a job!,Windows 7,Student
25-29,41070,Middle East,"$40,000 - $60,000",Java,,,,,,,,,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
< 20,40944,United States of America,,,,,,,,,,,C++,,,,,,Love my job,Linux,Student
51-60,11,United States of America,"$80,000 - $100,000",Java,,,,,,,SQL,,,,,,,Cobol,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,<2,Germany,"$20,000 - $40,000",,,,,,,,,C#,,,,,,CUDA,I'm not happy in my job,Windows 7,Student
< 20,40944,Other Europe,Student / Unemployed,,JavaScript,CSS,,,,,SQL,C#,,,,,,F#,I wish I had a job!,Other,Student
20-24,40944,United States of America,Student / Unemployed,Java,,,,,,,,,C++,C,,,,,I wish I had a job!,Windows 7,Student
25-29,41070,United Kingdom,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,I'm not happy in my job,Linux,"Fortune 1000 (1,000+)"
25-29,11,Other Europe,Rather not say,Java,,,PHP,,,,SQL,,C++,C,Perl,,,,Love my job,Linux,Mature Small Business (25-100)
20-24,<2,Other Europe,"<$20,000",Java,JavaScript,CSS,PHP,,,,,C#,C++,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,40944,United Kingdom,"$40,000 - $60,000",Java,JavaScript,,,,,,SQL,,C++,C,,,,,I enjoy going to work,Other,"Fortune 1000 (1,000+)"
20-24,40944,United States of America,"$80,000 - $100,000",Java,,,,Python,,Ruby,SQL,,C++,C,,,,Haskell,I enjoy going to work,Linux,Mature Small Business (25-100)
35-39,11,United States of America,Rather not say,Java,,,,,,,,,,,,,,,Love my job,Linux,"Fortune 1000 (1,000+)"
20-24,40944,India,Rather not say,,,,,Python,,,,,,,,,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
25-29,40944,India,Rather not say,,JavaScript,CSS,,,,,,,,,,HTML5,,,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
< 20,40944,United States of America,,Java,JavaScript,,,,,,,,,,,HTML5,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
20-24,<2,United States of America,Student / Unemployed,,,,,,Objective-C,,,,,,,,,,I wish I had a job!,Mac OS X,Student
< 20,40944,Australia,Student / Unemployed,,,CSS,,,,,SQL,C#,,,,HTML5,,,I wish I had a job!,Windows 7,Student
< 20,40944,South America,Student / Unemployed,,JavaScript,,,Python,,,,,,C,,HTML5,,,I wish I had a job!,Windows 7,Student
20-24,<2,Other Europe,"<$20,000",Java,,,,Python,,,,C#,C++,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,India,Rather not say,Java,,,,,,,,,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,41070,India,"<$20,000",,,,,,Objective-C,,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
35-39,41070,France,"$60,000 - $80,000",,,,,,,,,,,,,,,Delphi,I enjoy going to work,Windows Vista,"Fortune 1000 (1,000+)"
20-24,<2,India,Rather not say,,,,,,,,SQL,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,United Kingdom,,,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,HTML5,,,Love my job,Mac OS X,Mature Small Business (25-100)
30-34,41070,Australia,Rather not say,,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Its a paycheck,Windows 7,Start Up (1-25)
30-34,11,Other Europe,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Its a paycheck,Mac OS X,Start Up (1-25)
20-24,<2,Russia,Rather not say,,JavaScript,,,Python,,,SQL,C#,C++,,,HTML5,,,Its a paycheck,Linux,"Other (not working, consultant, etc.)"
30-34,11,Russia,"$40,000 - $60,000",,,CSS,PHP,Python,,,SQL,,C++,C,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
< 20,<2,Other Europe,Student / Unemployed,,,,,,,,,,,,,,,,I wish I had a job!,Linux,Student
< 20,40944,United States of America,Student / Unemployed,Java,,,,Python,Objective-C,,,,C++,C,,,,,I wish I had a job!,Windows 7,Student
< 20,<2,Canada,Student / Unemployed,,,,,,,,,C#,,,,,,,Love my job,Windows 7,Student
20-24,40944,Australasia,"$20,000 - $40,000",Java,,,,,,,SQL,C#,,,,,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,40944,South America,"$20,000 - $40,000",,,,,,,,,,,C,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
25-29,40944,Other Europe,Student / Unemployed,,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Student
25-29,41070,United States of America,"$60,000 - $80,000",,JavaScript,CSS,PHP,,,,SQL,,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
< 20,40944,Other Europe,Student / Unemployed,,JavaScript,CSS,PHP,Python,,,SQL,,,,,HTML5,,,I wish I had a job!,Linux,Student
20-24,40944,Netherlands,Student / Unemployed,,,CSS,,,,,,,,,,,,,I enjoy going to work,Windows Vista,Student
< 20,11,United States of America,Student / Unemployed,Java,JavaScript,,PHP,,,,,C#,C++,C,,,,"Various assembler's languages, VB6",I enjoy going to work,Windows 7,Student
< 20,<2,United Kingdom,"$20,000 - $40,000",,,,,Python,,,,,,,,,,,Its a paycheck,Mac OS X,Start Up (1-25)
< 20,40944,Other Asia,Student / Unemployed,,JavaScript,CSS,PHP,,Objective-C,,SQL,C#,,,,HTML5,,,I wish I had a job!,Windows 7,Student
20-24,40944,Other Europe,"<$20,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,<2,India,"<$20,000",,,,,,Objective-C,,,,,,,,,,I'm not happy in my job,Mac OS X,Start Up (1-25)
20-24,<2,India,"$20,000 - $40,000",,JavaScript,CSS,,,,,,C#,,,,,,,I'm not happy in my job,Other,Mid Sized (100-999)
20-24,40944,United States of America,,,,,,,,,,,C++,C,,,,,Its a paycheck,Windows 7,"Other (not working, consultant, etc.)"
20-24,<2,Canada,"$40,000 - $60,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
35-39,11,United States of America,"$100,000 - $120,000",Java,JavaScript,CSS,PHP,Python,,Ruby,SQL,C#,C++,,Perl,HTML5,,,Its a paycheck,Linux,Mid Sized (100-999)
< 20,<2,United States of America,"<$20,000",,,,,Python,,,,,,,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
20-24,40944,Middle East,,,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Love my job,Windows 7,Start Up (1-25)
20-24,<2,Middle East,Rather not say,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
20-24,<2,Netherlands,Student / Unemployed,,,,,,,Ruby,,C#,,,,,,,I wish I had a job!,Mac OS X,Student
25-29,40944,Other Europe,"$20,000 - $40,000",,,CSS,PHP,Python,,,,,C++,C,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
< 20,40944,Canada,Student / Unemployed,,,,,Python,,,,,C++,C,,HTML5,,,I wish I had a job!,Windows Vista,"Other (not working, consultant, etc.)"
25-29,40944,United States of America,"$60,000 - $80,000",,,,,,,,,,,,,,,Matlab,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,41070,India,Rather not say,Java,,,,,,,,,C++,,,,,,I enjoy going to work,Windows XP,Mid Sized (100-999)
20-24,<2,United States of America,Student / Unemployed,,JavaScript,,PHP,,Objective-C,,SQL,,,,,HTML5,,,I wish I had a job!,Mac OS X,Student
20-24,<2,Australia,"$40,000 - $60,000",Java,,,PHP,,Objective-C,Ruby,,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
25-29,41070,Other Europe,"<$20,000",Java,,CSS,,Python,,,SQL,C#,,C,,HTML5,,,I enjoy going to work,Windows 7,Start Up (1-25)
25-29,40944,United States of America,Rather not say,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
25-29,40944,Other Europe,Rather not say,Java,JavaScript,CSS,,,,,SQL,,,,,,,,Its a paycheck,Linux,Start Up (1-25)
20-24,40944,United Kingdom,Rather not say,Java,,CSS,,,Objective-C,,,C#,,,,,,,I enjoy going to work,Mac OS X,Mature Small Business (25-100)
20-24,40944,India,,Java,,,,,,,SQL,,C++,C,Perl,,,,I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
51-60,41070,United Kingdom,"$60,000 - $80,000",Java,,,,,,,SQL,C#,,,,,,,Love my job,Windows 7,Mid Sized (100-999)
20-24,40944,Other Asia,"<$20,000",Java,JavaScript,,,,,,SQL,,,,,,,,I enjoy going to work,Mac OS X,Start Up (1-25)
30-34,41070,Other Europe,Student / Unemployed,Java,JavaScript,CSS,,,Objective-C,,SQL,C#,,,,,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
20-24,40944,Netherlands,"<$20,000",,,CSS,PHP,,,,SQL,,,,,HTML5,,,Its a paycheck,Windows 7,Student
20-24,<2,Other Europe,"$40,000 - $60,000",,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
< 20,<2,United States of America,Student / Unemployed,,JavaScript,,,Python,,,,,,,,,,,Its a paycheck,Linux,Start Up (1-25)
20-24,40944,Other Europe,,,JavaScript,,,,,,SQL,C#,,,,,,,I enjoy going to work,Other,Start Up (1-25)
20-24,<2,Other Asia,Student / Unemployed,,,,,,,,SQL,C#,C++,C,,,,,I wish I had a job!,Windows 7,Student
20-24,11,United States of America,"$100,000 - $120,000",,JavaScript,CSS,PHP,,,Ruby,SQL,,,,,HTML5,,,Love my job,Mac OS X,Start Up (1-25)
20-24,<2,United Kingdom,"$20,000 - $40,000",Java,,,,,,,,,,,,,,,I'm not happy in my job,Mac OS X,Start Up (1-25)
25-29,41070,Australasia,Student / Unemployed,,,CSS,,,Objective-C,,SQL,C#,,,,,,,I wish I had a job!,Mac OS X,"Other (not working, consultant, etc.)"
25-29,<2,India,"<$20,000",Java,,,,,Objective-C,,,,,C,,,,,Love my job,Mac OS X,Mature Small Business (25-100)
25-29,<2,Other Europe,Rather not say,Java,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,40944,Germany,Rather not say,Java,,,PHP,,,,,,,C,,,,Matlab,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
35-39,11,United States of America,Rather not say,Java,JavaScript,CSS,,,,,,,,,Perl,HTML5,,,Its a paycheck,Mac OS X,Mid Sized (100-999)
25-29,11,Germany,Student / Unemployed,Java,,CSS,PHP,,,,SQL,,,,,HTML5,,,I wish I had a job!,Linux,"Other (not working, consultant, etc.)"
20-24,41070,Other Europe,"$20,000 - $40,000",,,,,,,,SQL,C#,C++,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
30-34,40944,United States of America,"$40,000 - $60,000",Java,,CSS,,,,,,,,,,,,,Love my job,Linux,"Fortune 1000 (1,000+)"
25-29,40944,United Kingdom,Rather not say,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Love my job,Windows 7,Start Up (1-25)
25-29,41070,Russia,"$20,000 - $40,000",,JavaScript,CSS,PHP,,,,,,,,,HTML5,,,I'm not happy in my job,Mac OS X,Mature Small Business (25-100)
40-50,11,United States of America,,,,,,,,,,C#,,,,,,,Love my job,Other,Mid Sized (100-999)
20-24,41070,Russia,"<$20,000",,JavaScript,CSS,PHP,Python,,Ruby,SQL,,C++,,,HTML5,,,Love my job,Linux,Student
25-29,40944,France,Rather not say,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,I enjoy going to work,Linux,Mid Sized (100-999)
25-29,40944,United States of America,,,,,,,,Ruby,,,,C,,,,,I wish I had a job!,Mac OS X,"Other (not working, consultant, etc.)"
< 20,40944,United Kingdom,Student / Unemployed,,,,PHP,,,,,,C++,,,HTML5,,,I wish I had a job!,Linux,Student
20-24,<2,Other Europe,Student / Unemployed,Java,,,,,,,,,C++,,,,,,I wish I had a job!,Windows XP,Student
< 20,<2,United States of America,Student / Unemployed,,,,,Python,,,,,C++,,,,,,I wish I had a job!,Windows XP,"Other (not working, consultant, etc.)"
25-29,<2,Other Europe,"<$20,000",,,,PHP,,,,SQL,,,,,,,,Its a paycheck,Windows 7,Mature Small Business (25-100)
20-24,41070,United Kingdom,Student / Unemployed,Java,,,,Python,,,,,C++,C,,,,,Love my job,Linux,Student
30-34,40944,United Kingdom,"$40,000 - $60,000",Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,,,VBScript,Its a paycheck,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,Other Europe,"$40,000 - $60,000",Java,,,,,,,,,C++,,,,,scala,I enjoy going to work,Linux,Mature Small Business (25-100)
< 20,40944,Russia,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,Scala,I wish I had a job!,Linux,Student
25-29,40944,Other Asia,"$80,000 - $100,000",,,,,,Objective-C,,,,,,,,,,Love my job,Mac OS X,Start Up (1-25)
20-24,40944,France,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
< 20,<2,United States of America,Student / Unemployed,Java,,,,,,,,,,,,,,,Love my job,Windows 7,Student
20-24,41070,Other Europe,"<$20,000",Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
20-24,40944,India,"<$20,000",Java,JavaScript,CSS,,Python,,,SQL,,C++,C,,,,,Love my job,Linux,Mid Sized (100-999)
20-24,<2,United Kingdom,Rather not say,Java,,CSS,,Python,,,,C#,C++,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
40-50,11,Australasia,"$60,000 - $80,000",Java,,,,,,,,,C++,C,,,,Delphi,Its a paycheck,Windows 7,Mid Sized (100-999)
25-29,40944,India,"<$20,000",Java,JavaScript,,,,,,SQL,,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
30-34,11,United States of America,,Java,JavaScript,CSS,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
< 20,40944,Other Europe,Student / Unemployed,Java,,,,,Objective-C,,,C#,,C,,,,,I enjoy going to work,Mac OS X,Student
35-39,<2,Other Asia,Rather not say,,,,,,,,,,,,,,,non,Its a paycheck,Windows XP,"Other (not working, consultant, etc.)"
20-24,40944,South America,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,,Love my job,Windows 7,Start Up (1-25)
40-50,11,United States of America,"$120,000 - $140,000",,,,,Python,Objective-C,,,,C++,C,,,,,I enjoy going to work,Mac OS X,"Fortune 1000 (1,000+)"
30-34,11,Canada,Student / Unemployed,,,,,,Objective-C,,,,C++,C,,,,,I wish I had a job!,Mac OS X,Student
< 20,40944,Africa,Student / Unemployed,Java,JavaScript,,,,,,,C#,C++,,Perl,,,Visual Basic,I wish I had a job!,Windows 7,Student
20-24,40944,United States of America,,Java,,,,Python,,,,C#,,C,,,,,I enjoy going to work,Windows 7,Mid Sized (100-999)
25-29,41070,United Kingdom,"$60,000 - $80,000",Java,,CSS,PHP,Python,Objective-C,Ruby,SQL,,C++,C,,,,,I'm not happy in my job,Linux,Mid Sized (100-999)
25-29,40944,India,"<$20,000",,,,,,,,SQL,,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
20-24,40944,Canada,,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,Other Europe,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,Perl,,,Visual Dataflex,Its a paycheck,Windows 7,Start Up (1-25)
20-24,<2,Other Asia,Rather not say,Java,JavaScript,CSS,,,,Ruby,,,,,,,,,I enjoy going to work,Linux,Start Up (1-25)
30-34,41070,United States of America,"$80,000 - $100,000",Java,JavaScript,CSS,,,,,SQL,,C++,,,HTML5,,,Its a paycheck,Windows 7,"Fortune 1000 (1,000+)"
20-24,40944,India,"<$20,000",Java,JavaScript,CSS,PHP,Python,,,,,,C,,HTML5,,Scala,I enjoy going to work,Mac OS X,Mid Sized (100-999)
25-29,40944,United States of America,"$60,000 - $80,000",Java,JavaScript,CSS,PHP,,,,SQL,,,,,,,,I enjoy going to work,Linux,Mid Sized (100-999)
20-24,41070,Other Europe,"<$20,000",Java,JavaScript,CSS,,Python,,,SQL,,,,,,,,I'm not happy in my job,Linux,Student
< 20,<2,Australasia,Student / Unemployed,,JavaScript,CSS,,,,,,,,,,HTML5,,,I wish I had a job!,Linux,Student
20-24,40944,Canada,"$40,000 - $60,000",Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,JSP,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
20-24,<2,Italy,Student / Unemployed,,,CSS,,Python,,,,,,C,,HTML5,,shell,I wish I had a job!,Mac OS X,Student
20-24,<2,Other Europe,Rather not say,,,,PHP,,,,,,,,,,,,I wish I had a job!,Windows 7,"Other (not working, consultant, etc.)"
51-60,11,United States of America,Student / Unemployed,,,,PHP,Python,,,SQL,,,C,,,,FORTRAN II,Love my job,Windows Vista,"Other (not working, consultant, etc.)"
25-29,<2,Other Europe,"$20,000 - $40,000",Java,,CSS,,Python,,Ruby,SQL,,C++,C,,,,"Ada, LISP",I enjoy going to work,Linux,"Fortune 1000 (1,000+)"
20-24,<2,United States of America,Student / Unemployed,,,,PHP,,,,,,,,,,,,I wish I had a job!,Windows 7,Student
20-24,<2,United Kingdom,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,,,C,,HTML5,,,Hate my job,Mac OS X,"Fortune 1000 (1,000+)"
30-34,40944,Australasia,Rather not say,Java,,,,,,,SQL,,,C,,,,,I enjoy going to work,Linux,Start Up (1-25)
20-24,40944,Other Asia,Rather not say,Java,JavaScript,CSS,PHP,,,Ruby,SQL,,C++,C,,HTML5,,,I enjoy going to work,Linux,"Other (not working, consultant, etc.)"
25-29,40944,Italy,"$20,000 - $40,000",Java,,,,,,,SQL,,,,,,,,Its a paycheck,Windows XP,Mature Small Business (25-100)
20-24,<2,Middle East,"$20,000 - $40,000",Java,,CSS,,,Objective-C,,SQL,C#,C++,,,,,vb,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Other Europe,Rather not say,,,,,Python,,,,C#,,,,,,,Its a paycheck,Windows 7,Mid Sized (100-999)
20-24,41070,Italy,Student / Unemployed,Java,JavaScript,CSS,PHP,,,,SQL,,,C,,,,,I enjoy going to work,Linux,Student
20-24,40944,United Kingdom,"$20,000 - $40,000",Java,JavaScript,CSS,PHP,Python,,,SQL,C#,,C,,HTML5,,,I enjoy going to work,Linux,Start Up (1-25)
20-24,<2,India,Rather not say,,,,,,,,,,,,,,,Android,I enjoy going to work,Windows 7,Student
20-24,40944,Other Asia,Rather not say,,,,,,,,,,C++,C,,,,,I enjoy going to work,Other,"Fortune 1000 (1,000+)"
20-24,40944,Africa,"<$20,000",,,,PHP,,,,,,,,,,,,I enjoy going to work,,Start Up (1-25)
25-29,41070,Russia,"$40,000 - $60,000",Java,,,,,,,,,,,,,,,I enjoy going to work,Linux,Mature Small Business (25-100)
40-50,11,Other Europe,Rather not say,,,,,,,,,C#,,,,,,pl/sql,I enjoy going to work,Windows XP,Mature Small Business (25-100)
20-24,<2,Other Europe,Student / Unemployed,Java,,,,,,,,,,,,,,,I wish I had a job!,Linux,Student
25-29,40944,United States of America,"$40,000 - $60,000",Java,,,,Python,,Ruby,,,C++,C,,,,,Its a paycheck,Linux,Mature Small Business (25-100)
20-24,40944,United States of America,"$60,000 - $80,000",,JavaScript,CSS,,,,,SQL,C#,,,,,,,Love my job,Windows 7,"Fortune 1000 (1,000+)"
20-24,41070,United States of America,"$20,000 - $40,000",,,,PHP,,,Ruby,,,,,,,,,Its a paycheck,Mac OS X,Student
20-24,<2,Other Asia,"<$20,000",Java,JavaScript,,,,,,SQL,,,,,,,,I enjoy going to work,Windows XP,"Fortune 1000 (1,000+)"
25-29,41070,United States of America,,,JavaScript,CSS,,,,,SQL,C#,,,,,,Salesforce Apex,I enjoy going to work,Windows 7,"Fortune 1000 (1,000+)"
25-29,41070,Middle East,Student / Unemployed,Java,,,,,,,,C#,C++,,Perl,,,smalltalk,I wish I had a job!,Windows 7,Student
20-24,<2,United States of America,"$60,000 - $80,000",Java,,,,Python,Objective-C,,,,C++,C,Perl,,,,I enjoy going to work,Mac OS X,Mid Sized (100-999)
30-34,40944,United Kingdom,Rather not say,,,,,,,,,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,40944,Netherlands,Rather not say,,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Start Up (1-25)
20-24,40944,Middle East,"<$20,000",Java,,,,,,,,,,C,,,,,I enjoy going to work,Linux,Start Up (1-25)
40-50,11,United States of America,"$80,000 - $100,000",,,,,,,,SQL,C#,,,,,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
25-29,40944,Other Europe,"$20,000 - $40,000",Java,,,,Python,,,SQL,,,,,,,,Love my job,Windows XP,"Fortune 1000 (1,000+)"
40-50,11,Netherlands,"$40,000 - $60,000",,JavaScript,,,,,,SQL,C#,,,,HTML5,,,I enjoy going to work,Windows 7,Mature Small Business (25-100)
