string_field_3,string_field_5,string_field_0,string_field_7,string_field_42,string_field_43,string_field_44,string_field_45,string_field_46,string_field_47,string_field_48,string_field_49,string_field_50,string_field_51,string_field_52,string_field_53,string_field_4,string_field_67,string_field_9
30-34,11,United States,"$120,000 - $140,000",C,C++,,,,,,,,,,perl,Male,Ubuntu,100
20-24,2/5/2014,Bangladesh,"<$20,000",,,,Java,,,,,,,,,Male,Linux,1/5/2014
40-50,11,Poland,,,C++,,Java,,,,,,,,,Male,Ubuntu,100
30-34,6/10/2014,United States,"$80,000 - $100,000",C,C++,,,,,,,,,,,Male,Windows 7,100
51-60,11,United States,"$120,000 - $140,000",,C++,,Java,,,,,,,,XQuery,Female,Linux,100
20-24,2/5/2014,Germany,"$120,000 - $140,000",C,C++,C#,Java,JavaScript,,,,Python,,SQL,,Male,Linux,100
25-29,2/5/2014,India,Rather not say,,,,Java,JavaScript,,,,,,,,Male,Windows 7,100
20-24,2/5/2014,France,Student / Unemployed,C,C++,,,,,,,Python,,SQL,,Male,Mint,
20-24,<2,Ireland,Student / Unemployed,,C++,,Java,JavaScript,,,PHP,,,SQL,Android SDK,Male,Windows 7,1/5/2014
20-24,<2,United States,Student / Unemployed,C,,,,,,,,Python,,,SAS,Male,Other,
20-24,2/5/2014,United States,Student / Unemployed,,C++,C#,Java,JavaScript,,,,,,,,Male,Windows 7,
20-24,2/5/2014,Russia,Student / Unemployed,,C++,,,,,,,,,,,Male,Linux,100
25-29,2/5/2014,France,,,C++,,,,,,,,,,,Male,Fedora,1/5/2014
20-24,2/5/2014,United States,,,C++,C#,,,,,,Python,,,,Male,Windows 8,31-50
35-39,11,United States,">$140,000",C,C++,,Java,,,,,,,,,Male,Mac OS X,100
20-24,2/5/2014,Russia,"<$20,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,Singapore,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
25-29,6/10/2014,Russia,"<$20,000",,,,,,,,,,,SQL,Delphi,Male,Windows 7,6/15/2014
30-34,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,PHP,,,SQL,,Female,Windows 7,100
30-34,6/10/2014,Dominican Republic,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,16-30
40-50,11,United States,">$140,000",C,C++,,Java,JavaScript,,,,Python,,SQL,,Male,Debian,100
20-24,<2,India,Rather not say,,,C#,,,,,,,,SQL,VBA,Male,Windows 7,16-30
30-34,6/10/2014,Spain,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,SQL,Siebel CRM,Male,Windows 7,100
25-29,2/5/2014,Sri Lanka,"<$20,000",,,C#,Java,JavaScript,,,,,,SQL,,Female,Windows 7,6/15/2014
30-34,6/10/2014,United States,"$120,000 - $140,000",C,C++,,,,,,,Python,,,Perl,Prefer not to disclose,Linux,100
35-39,11,United States,"$100,000 - $120,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,100
20-24,2/5/2014,India,"<$20,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,100
35-39,11,United States,"$120,000 - $140,000",,,C#,,,,Objective-C,,,,,,Male,Windows 7,100
25-29,6/10/2014,United States,"$100,000 - $120,000",,C++,,,,,,,Python,,,,Male,Ubuntu,100
25-29,2/5/2014,Germany,"<$20,000",,,C#,,JavaScript,Node.js,,,,,,,Male,Windows 8,1/5/2014
20-24,2/5/2014,Greece,Student / Unemployed,C,C++,,Java,,,,,Python,,,,Male,Fedora,
20-24,2/5/2014,Denmark,"<$20,000",,,C#,Java,,,,,,,SQL,,Male,Windows 7,100
30-34,2/5/2014,Colombia,"<$20,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
25-29,6/10/2014,Italy,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,,Male,Windows 7,16-30
20-24,<2,India,"<$20,000",C,,,Java,,,,,Python,,,,Male,Windows 7,100
20-24,<2,India,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,50-100
20-24,2/5/2014,Australia,Student / Unemployed,,,,,JavaScript,Node.js,,PHP,,,,,Male,Linux,1/5/2014
25-29,<2,France,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Female,Windows 7,1/5/2014
25-29,2/5/2014,Russia,"$20,000 - $40,000",,,,Java,,,,,Python,,,bash,Male,Linux,100
30-34,6/10/2014,United States,"$60,000 - $80,000",,,,Java,,,,,Python,,SQL,,Male,Windows 7,100
25-29,6/10/2014,India,"<$20,000",,,C#,,,,,,,,SQL,,Male,Windows 7,100
25-29,6/10/2014,China,"$20,000 - $40,000",C,C++,,,,,Objective-C,,,,,,Male,Windows 7,100
30-34,<2,United States,"$40,000 - $60,000",,,,,,,,,Python,,,,Male,Windows 7,1/5/2014
20-24,11,Hong Kong,Rather not say,,,C#,Java,JavaScript,,,PHP,,,,,Male,Windows 7,1/5/2014
25-29,2/5/2014,Denmark,"$60,000 - $80,000",,,,,,,,,,,,R,Male,Windows 7,
51-60,<2,United States,"$60,000 - $80,000",,,,,JavaScript,,,PHP,Python,,SQL,,Male,Windows XP,
< 20,6/10/2014,India,Student / Unemployed,C,C++,C#,Java,,,,,,,SQL,,Female,Ubuntu,
< 20,6/10/2014,United States,Student / Unemployed,,C++,,Java,,,,,,,,,Male,Windows 8,1/5/2014
25-29,2/5/2014,Italy,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
< 20,2/5/2014,India,Student / Unemployed,,C++,,,JavaScript,,,PHP,Python,,,,Male,Linux,
25-29,2/5/2014,Germany,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
25-29,<2,India,"<$20,000",,,,,JavaScript,,,PHP,,,,,Male,Windows XP,6/15/2014
30-34,6/10/2014,United States,"$100,000 - $120,000",,,,Java,JavaScript,Node.js,,,,,,,Male,Mac OS X,100
25-29,6/10/2014,Estonia,Rather not say,,,,Java,JavaScript,,,,,Ruby,SQL,,Male,Mac OS X,1/5/2014
30-34,6/10/2014,United States,"$80,000 - $100,000",,C++,,,JavaScript,,,,,,,,Male,Windows 7,50-100
20-24,<2,India,"<$20,000",,,C#,,,,,,,,,,Male,Windows 7,100
20-24,<2,Pakistan,"<$20,000",,C++,,,JavaScript,,,,Python,,,,Male,Windows 7,1/5/2014
35-39,11,United Kingdom,"$80,000 - $100,000",,,C#,,,,,,,,,,Male,Windows 7,31-50
20-24,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,Objective-C,,Python,Ruby,SQL,,Male,Mac OS X,1/5/2014
20-24,<2,India,"<$20,000",,C++,C#,,,,,,,,,,Male,Windows 7,100
40-50,11,Russia,Rather not say,,C++,,,,,,,,,,,Male,Windows 7,100
51-60,11,United States,,,,,,,,,,,,,,Male,Windows 7,16-30
35-39,11,United States,Rather not say,,C++,,,JavaScript,Node.js,,,,,,asm.js,Male,Linux,100
25-29,6/10/2014,Norway,"$60,000 - $80,000",,,,,,,,,Python,,SQL,SAS,Male,Windows 7,31-50
20-24,<2,Greece,Student / Unemployed,,,,,,,,,,,,prolog,Male,Windows 7,
20-24,2/5/2014,Poland,Student / Unemployed,,,C#,Java,,,,,,,,Verilog,Male,Windows 8,
< 20,2/5/2014,United Kingdom,Student / Unemployed,C,,,Java,,,,PHP,,,SQL,,Male,Windows 7,
20-24,2/5/2014,United States,Student / Unemployed,C,,,,,,,,Python,Ruby,SQL,,Male,Mac OS X,
20-24,<2,India,Student / Unemployed,C,,,,,,,,,,,,Male,Windows 7,
30-34,6/10/2014,United Kingdom,"$60,000 - $80,000",,,C#,Java,JavaScript,,,,,,,,Male,Windows 8,31-50
25-29,2/5/2014,United Kingdom,"$60,000 - $80,000",,,,,JavaScript,,,,,,,,Male,Mac OS X,1/5/2014
25-29,6/10/2014,United Kingdom,"$60,000 - $80,000",,,,Java,JavaScript,,,PHP,,,SQL,TCL,Male,Linux,100
20-24,2/5/2014,United States,"$60,000 - $80,000",,,,,JavaScript,,,,,,SQL,,Female,Ubuntu,100
20-24,2/5/2014,Egypt,Rather not say,,,,,JavaScript,,,,Python,Ruby,,,Male,Windows 7,1/5/2014
35-39,11,France,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,Node.js,,,,,SQL,Powershell,Male,Windows 7,100
25-29,2/5/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,Python,,SQL,glsl,Male,Windows 7,100
30-34,6/10/2014,Poland,Rather not say,,,C#,,,,,,,,,,Female,Windows 8,100
25-29,2/5/2014,United Kingdom,"$40,000 - $60,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,1/5/2014
30-34,11,United States,"$120,000 - $140,000",,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
25-29,2/5/2014,United States,"$60,000 - $80,000",,,,,,,,,,,SQL,VBA,Male,Windows 7,16-30
25-29,<2,India,"$20,000 - $40,000",C,,C#,,,,,,,,,,Male,Windows 7,1/5/2014
25-29,6/10/2014,Australia,"$20,000 - $40,000",C,C++,,,,,,,Python,,,,Male,Windows 8,6/15/2014
20-24,<2,Pakistan,"<$20,000",,,C#,Java,,,,,,,,,Male,Windows 7,31-50
25-29,6/10/2014,India,"<$20,000",,,,Java,,,,PHP,,,,,Male,Windows 8,31-50
20-24,2/5/2014,Netherlands,Rather not say,,,,Java,JavaScript,,,PHP,Python,,SQL,,Male,Mac OS X,1/5/2014
< 20,2/5/2014,United States,Student / Unemployed,,C++,,,JavaScript,,,,,,,VB .Net,Male,Windows 7,
20-24,6/10/2014,Croatia,Student / Unemployed,,C++,C#,Java,JavaScript,,,,,,,,Male,Debian,
20-24,<2,India,Student / Unemployed,C,,,Java,,,,,Python,,,,Male,Windows 7,
20-24,2/5/2014,Canada,Student / Unemployed,,C++,C#,Java,,,,,Python,,,,Male,Mint,1/5/2014
20-24,2/5/2014,Portugal,"<$20,000",,,,Java,JavaScript,,,,,,,Alloy,Male,Windows 7,
35-39,<2,United States,Rather not say,,,C#,,,,,,Python,,,,Male,Windows 8,1/5/2014
< 20,11,Brazil,"<$20,000",,,,Java,JavaScript,,,PHP,,,,,Male,Windows 7,6/15/2014
25-29,6/10/2014,Mexico,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,6/15/2014
25-29,<2,United States,"$20,000 - $40,000",,,,,,,,,,,SQL,,Male,Windows 7,1/5/2014
25-29,2/5/2014,United States,"$60,000 - $80,000",,,,,JavaScript,,,,,,,,Male,Mac OS X,1/5/2014
20-24,<2,Philippines,"<$20,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
30-34,6/10/2014,India,"$40,000 - $60,000",,,C#,,,,,,,,,,Male,Windows 7,100
20-24,2/5/2014,India,"<$20,000",,C++,,Java,JavaScript,,,,,,SQL,"angularJS, jquery",Female,Ubuntu,50-100
35-39,11,United States,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,16-30
30-34,6/10/2014,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
20-24,2/5/2014,Pakistan,"<$20,000",C,,,Java,JavaScript,,,,,,SQL,,Male,Ubuntu,16-30
25-29,11,Turkey,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,100
30-34,11,Finland,"$60,000 - $80,000",,,,Java,,,,,,,,,Male,Linux,1/5/2014
20-24,2/5/2014,Ukraine,Rather not say,,,,Java,JavaScript,,,,,,,,Male,Ubuntu,1/5/2014
20-24,<2,Russia,"$20,000 - $40,000",,,,Java,,,,,,,,,Male,Windows 7,6/15/2014
< 20,2/5/2014,Ukraine,"<$20,000",C,C++,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,31-50
25-29,6/10/2014,Germany,"$80,000 - $100,000",,,C#,,,,,,,,,,Male,Windows 7,100
30-34,11,Austria,"$40,000 - $60,000",,C++,,,JavaScript,,,PHP,,,,,Male,Linux,6/15/2014
25-29,2/5/2014,Germany,"$40,000 - $60,000",,,C#,Java,,,,,,,SQL,,Male,Windows 8,31-50
30-34,2/5/2014,Belgium,Rather not say,C,,,Java,,,,,,,SQL,,Male,Linux,6/15/2014
25-29,2/5/2014,Sweden,Student / Unemployed,,C++,,,,,,,Python,,,,Male,Mac OS X,
25-29,<2,United States,Student / Unemployed,,,,,,,,,Python,,,,Male,Mac OS X,
20-24,<2,Turkey,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
25-29,2/5/2014,Other,"$20,000 - $40,000",,,C#,Java,,Node.js,,,,,SQL,,Male,Windows 7,31-50
20-24,<2,India,"$20,000 - $40,000",,,,,,,,,,Ruby,SQL,,Male,Ubuntu,1/5/2014
30-34,6/10/2014,United States,"$40,000 - $60,000",,,C#,Java,JavaScript,,,PHP,,,SQL,,Male,Linux,6/15/2014
30-34,2/5/2014,Israel,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,Pakistan,"$20,000 - $40,000",,,C#,Java,JavaScript,,Objective-C,,,,SQL,,Male,Ubuntu,100
35-39,6/10/2014,United States,"$80,000 - $100,000",,,,,,,,,,,SQL,,Female,Windows XP,100
20-24,2/5/2014,India,"<$20,000",,,C#,,JavaScript,,,,,,,,Male,Windows 8,100
20-24,2/5/2014,India,Rather not say,,,C#,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,100
20-24,<2,Sri Lanka,"<$20,000",,,,Java,JavaScript,,,,,,SQL,jquerry,Male,Ubuntu,31-50
25-29,6/10/2014,India,"$20,000 - $40,000",,,,Java,JavaScript,Node.js,,PHP,,,SQL,,Male,Mac OS X,100
25-29,2/5/2014,Canada,Rather not say,,,,Java,,,,,,,,,Male,Windows 7,50-100
25-29,<2,India,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,6/15/2014
25-29,2/5/2014,Spain,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
30-34,6/10/2014,Germany,"$20,000 - $40,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,6/15/2014
30-34,11,United Kingdom,"$120,000 - $140,000",,,,,,,,,,,,erlang,Male,Mac OS X,16-30
20-24,2/5/2014,Malaysia,"<$20,000",,,C#,Java,JavaScript,,,,,,SQL,,Male,Windows 8,16-30
40-50,11,France,"$60,000 - $80,000",,,,Java,,,,,,,SQL,,Male,Linux,6/15/2014
20-24,2/5/2014,United States,"$60,000 - $80,000",C,C++,C#,,,,,,,,SQL,XAML,Male,Windows 7,31-50
35-39,11,United Kingdom,Rather not say,,,C#,,JavaScript,,,,,,SQL,,Male,Windows XP,31-50
20-24,2/5/2014,United States,"$40,000 - $60,000",,,,,JavaScript,,,,,,,ColdFusion,Male,Mac OS X,1/5/2014
20-24,2/5/2014,Argentina,Student / Unemployed,,,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,
20-24,<2,Bulgaria,"<$20,000",,,,Java,,,,,,Ruby,SQL,,Male,Windows 7,100
20-24,<2,India,"<$20,000",C,C++,,Java,,,Objective-C,PHP,,,SQL,,Male,Mac OS X,100
20-24,2/5/2014,India,"<$20,000",,,,Java,,,,,Python,,SQL,,Male,Windows 7,1/5/2014
20-24,2/5/2014,India,"$20,000 - $40,000",,,,Java,,,Objective-C,PHP,,,,,Female,Mac OS X,100
20-24,<2,India,"<$20,000",,,,Java,,,,,,,,,Male,Windows XP,100
25-29,2/5/2014,United Kingdom,"$60,000 - $80,000",C,C++,,,,,Objective-C,,,,,,Male,Mac OS X,16-30
25-29,2/5/2014,India,"<$20,000",,,,,,,Objective-C,,,,,,Male,Mac OS X,100
51-60,11,Germany,,,,,,JavaScript,Node.js,,,,,,,Male,Linux,
< 20,2/5/2014,India,Rather not say,,,,,,,,PHP,,,,,Male,Windows 7,
20-24,<2,India,"<$20,000",,,,,,,,PHP,,,,,Male,Windows 7,31-50
25-29,2/5/2014,India,Rather not say,,,,Java,,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
40-50,11,United States,"$80,000 - $100,000",,,,,JavaScript,,,,,,,,Male,Windows 7,100
20-24,2/5/2014,Egypt,"<$20,000",,,,,JavaScript,,,PHP,Python,,,,Male,Ubuntu,1/5/2014
20-24,2/5/2014,Colombia,"<$20,000",,,,Java,JavaScript,,,PHP,,Ruby,SQL,,Male,Mac OS X,50-100
40-50,11,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,Python,,SQL,,Male,Windows 7,6/15/2014
25-29,2/5/2014,Australia,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,6/15/2014
20-24,2/5/2014,India,,,,,,JavaScript,,,PHP,,,,,Male,Windows 7,100
40-50,11,United States,Rather not say,,C++,,Java,,,,,Python,,SQL,,Male,Windows 7,100
25-29,6/10/2014,Australia,"$60,000 - $80,000",,,C#,,,,,,,,,,Male,Windows 7,6/15/2014
30-34,6/10/2014,Canada,"$80,000 - $100,000",C,C++,C#,,,,Objective-C,,,Ruby,,,Male,Windows 7,100
30-34,11,Israel,Rather not say,,,,Java,,,Objective-C,,,,,,Male,Mac OS X,31-50
20-24,2/5/2014,Russia,"<$20,000",,,,Java,,,,,Python,,SQL,,Male,Debian,100
25-29,6/10/2014,Germany,Student / Unemployed,,,C#,Java,,,,,,,,,Male,Windows 8,100
20-24,<2,India,Student / Unemployed,,,,Java,,,,,Python,,,Haskell,Male,Ubuntu,100
25-29,6/10/2014,Poland,Student / Unemployed,,,,Java,,,,,,,SQL,,Male,Debian,
20-24,6/10/2014,United States,Student / Unemployed,,,,,,,,,Python,,,Go,Male,Mac OS X,
35-39,<2,United States,"<$20,000",,,,,,,,,,Ruby,,,Male,Mac OS X,1/5/2014
30-34,6/10/2014,India,"$20,000 - $40,000",,,,Java,,,,,,,SQL,,Male,Windows 7,50-100
25-29,2/5/2014,France,"$20,000 - $40,000",,,,Java,JavaScript,,,,,,,Scala,Male,Mint,50-100
30-34,6/10/2014,United States,"$60,000 - $80,000",,,C#,,,,,,,,SQL,,Male,Windows 7,6/15/2014
35-39,11,Brazil,"$40,000 - $60,000",,,C#,Java,,,,,,,SQL,,Male,Windows 7,100
30-34,6/10/2014,Finland,"$40,000 - $60,000",,,,Java,JavaScript,,,,,Ruby,SQL,"Clojure, Perl",Male,Mac OS X,100
25-29,2/5/2014,Brazil,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 8,100
20-24,<2,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
25-29,11,United States,"$100,000 - $120,000",,,C#,,JavaScript,Node.js,Objective-C,PHP,Python,,SQL,,Male,Windows 8,100
25-29,2/5/2014,United States,"$80,000 - $100,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,50-100
30-34,6/10/2014,India,,,,,Java,,,,,,,,,Male,Windows 7,100
25-29,<2,India,,C,C++,C#,,,,,,,,SQL,VB.Net,Male,Windows 7,1/5/2014
25-29,2/5/2014,Pakistan,"<$20,000",C,C++,C#,Java,JavaScript,,,,,,,,Male,Windows 7,16-30
25-29,6/10/2014,United States,"$120,000 - $140,000",,,C#,,,,,,,,,VB.NET,Male,Windows 8,100
20-24,2/5/2014,Brazil,"$20,000 - $40,000",,,,Java,JavaScript,,Objective-C,,Python,,,,Male,Mac OS X,50-100
25-29,6/10/2014,Greece,"$20,000 - $40,000",,C++,C#,Java,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows 7,16-30
25-29,2/5/2014,India,Rather not say,,,,,,,,,Python,,,,Male,Linux,50-100
20-24,<2,Denmark,Student / Unemployed,,,C#,Java,JavaScript,,,,,,,,Male,Windows 8,100
20-24,<2,India,Rather not say,,,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Windows XP,16-30
30-34,11,Poland,"$20,000 - $40,000",,,,,JavaScript,Node.js,,PHP,,,SQL,,Male,Linux,1/5/2014
35-39,11,Hungary,Rather not say,,,,Java,JavaScript,,,,,,SQL,Erlang,Male,Windows 7,100
25-29,2/5/2014,India,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows XP,100
20-24,2/5/2014,United States,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,1/5/2014
30-34,11,United Kingdom,,,,C#,,,,,,,,SQL,,Male,Windows 7,50-100
25-29,6/10/2014,Canada,"$60,000 - $80,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
25-29,2/5/2014,United States,"$60,000 - $80,000",,,,,JavaScript,Node.js,,,,,,,Male,Ubuntu,16-30
25-29,<2,Armenia,Rather not say,,,,,JavaScript,,,PHP,,,SQL,,Male,,16-30
35-39,11,Brazil,Rather not say,,,,Java,JavaScript,Node.js,,PHP,,,SQL,,Male,Linux,100
20-24,6/10/2014,United Kingdom,Rather not say,,C++,,,JavaScript,,,,,Ruby,SQL,,Male,Linux,100
25-29,2/5/2014,Australia,"$40,000 - $60,000",,,C#,Java,,,,,,,SQL,,Male,Windows 7,6/15/2014
20-24,6/10/2014,Taiwan,"<$20,000",,,,Java,,,,,,,,,Male,Windows 7,100
20-24,2/5/2014,India,Rather not say,,,C#,,,,,,,,,,Male,Windows 7,31-50
25-29,6/10/2014,Greece,"$20,000 - $40,000",,,,,,,,PHP,,,,bash,Male,Linux,100
35-39,6/10/2014,Saudi Arabia,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
25-29,2/5/2014,India,"<$20,000",,,,Java,,,,,Python,,,,Male,Mac OS X,100
40-50,6/10/2014,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Female,Windows 7,6/15/2014
20-24,2/5/2014,Vietnam,Student / Unemployed,,,,,JavaScript,,,,Python,,,,Male,Windows 7,
20-24,2/5/2014,Germany,"<$20,000",,C++,,Java,JavaScript,,,,,,,,Male,Ubuntu,100
20-24,6/10/2014,United States,"<$20,000",,C++,,Java,JavaScript,,,PHP,,,,,Male,Windows 7,
25-29,6/10/2014,Austria,Student / Unemployed,,,,Java,,,,PHP,,,SQL,,Female,Windows 7,
25-29,2/5/2014,India,"<$20,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,31-50
25-29,2/5/2014,United States,"$80,000 - $100,000",,,,Java,,,,,,,SQL,,Male,Windows XP,100
25-29,6/10/2014,Russia,Rather not say,,,,,JavaScript,,,PHP,Python,,,,Female,Windows 7,6/15/2014
25-29,2/5/2014,Portugal,"$20,000 - $40,000",,,,Java,JavaScript,Node.js,,,,,,,Male,Windows 7,100
35-39,6/10/2014,United States,,C,C++,,Java,,,,,Python,,,,Male,Linux,100
25-29,2/5/2014,United States,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
20-24,6/10/2014,Uruguay,"$20,000 - $40,000",,,C#,Java,,,,,,,,Groovy,Male,Mac OS X,16-30
30-34,11,Belgium,Rather not say,,,,Java,JavaScript,,,,,,,,Male,Windows 7,100
20-24,2/5/2014,India,"<$20,000",,,,Java,JavaScript,,,,,,SQL,,Male,Ubuntu,6/15/2014
20-24,2/5/2014,United States,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,1/5/2014
30-34,6/10/2014,Spain,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,100
20-24,<2,India,"<$20,000",,,,Java,JavaScript,,,,,,SQL,JSP,Male,Ubuntu,16-30
51-60,11,United States,Rather not say,,,,,,,,,,,SQL,,Male,Windows XP,6/15/2014
25-29,2/5/2014,Poland,"$20,000 - $40,000",C,C++,C#,Java,JavaScript,,,,,,SQL,"Scala, bash",Prefer not to disclose,Windows 7,100
35-39,11,United States,"$120,000 - $140,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
35-39,11,Ireland,">$140,000",,,,Java,JavaScript,,Objective-C,,,,SQL,,Male,Mac OS X,50-100
25-29,2/5/2014,Taiwan,"$40,000 - $60,000",C,C++,,,,,,,,,,,Male,Windows 7,100
25-29,6/10/2014,Mexico,Rather not say,,,,,,,Objective-C,,,,,,Male,Mac OS X,100
< 20,2/5/2014,Sweden,Student / Unemployed,,,C#,Java,JavaScript,,,PHP,,,SQL,,Male,Ubuntu,1/5/2014
25-29,2/5/2014,China,"<$20,000",C,,,Java,,,,,,,,,Male,Windows 7,16-30
< 20,6/10/2014,Australia,Student / Unemployed,,C++,,,JavaScript,,,,Python,,,,Male,Windows 7,
20-24,6/10/2014,United Kingdom,Student / Unemployed,C,,,Java,JavaScript,Node.js,,,Python,,,,Male,Linux,
20-24,2/5/2014,Netherlands,Student / Unemployed,,,C#,,JavaScript,Node.js,,,Python,,,Haskell,Male,Ubuntu,
25-29,6/10/2014,France,"$40,000 - $60,000",,,C#,Java,,,,,,,,Guys you forget scala in exciting techno. shame on you,Male,Windows 7,31-50
20-24,2/5/2014,Ukraine,"$20,000 - $40,000",,,,,JavaScript,,,PHP,,,SQL,,Male,Windows 7,31-50
40-50,11,United States,"$120,000 - $140,000",,,,,,,,,,,SQL,,Male,Windows 7,100
30-34,6/10/2014,United Kingdom,"$40,000 - $60,000",,,,Java,JavaScript,,,,,,SQL,,Male,Windows 7,50-100
35-39,11,Germany,"$80,000 - $100,000",,,C#,Java,JavaScript,,Objective-C,,,,SQL,,Male,Mac OS X,50-100
25-29,11,United States,Rather not say,C,C++,C#,,,,,PHP,,,,,Male,Windows 7,6/15/2014
20-24,<2,United States,"$60,000 - $80,000",,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,1/5/2014
20-24,<2,India,"<$20,000",,,C#,,,,,,,,SQL,WPF,Male,Windows 7,100
35-39,11,Canada,Rather not say,C,,,Java,,,,,,,,perl,Male,Windows 7,100
20-24,2/5/2014,Brazil,Rather not say,,,,Java,,,,,,,,,Male,Ubuntu,100
30-34,11,United States,"$100,000 - $120,000",,,,Java,JavaScript,Node.js,Objective-C,,,,,,Male,Mac OS X,50-100
40-50,11,United Kingdom,"$100,000 - $120,000",,,,Java,,,,,,,,,Male,Mac OS X,100
< 20,<2,Ukraine,Student / Unemployed,,C++,,,,,,,,,,,Male,Windows 7,
20-24,2/5/2014,United States,,,,C#,Java,JavaScript,,,PHP,,,SQL,,Male,Windows 8,1/5/2014
30-34,2/5/2014,Israel,"<$20,000",,,,,,,,,Python,,,,Male,Windows XP,1/5/2014
25-29,<2,United States,"$20,000 - $40,000",,,,,,,,,Python,,SQL,,Male,Windows 7,1/5/2014
25-29,6/10/2014,Germany,"$20,000 - $40,000",,,C#,,JavaScript,,,,,,,,Male,Windows 7,16-30
< 20,2/5/2014,India,Rather not say,,,,Java,JavaScript,,,,,,SQL,,Male,Windows 8,6/15/2014
20-24,2/5/2014,Belarus,Rather not say,,C++,C#,,JavaScript,,,,,,SQL,,Male,Windows 8,100
25-29,2/5/2014,India,Rather not say,C,C++,C#,Java,JavaScript,,,PHP,Python,,SQL,,Male,Ubuntu,100
20-24,2/5/2014,Egypt,,,,C#,,JavaScript,,,,,,SQL,,Male,Windows 7,16-30
30-34,6/10/2014,United States,"$100,000 - $120,000",,,C#,,JavaScript,,,,,Ruby,SQL,,Male,Windows 7,16-30
30-34,6/10/2014,United Kingdom,"$80,000 - $100,000",C,,,,,,,,Python,,SQL,assembly,Male,Debian,100
30-34,11,India,"$20,000 - $40,000",C,C++,,,,,,,Python,,,,Male,Windows 7,100
